Travel;Pedal-kickback;
0;0.000;
10;0.668;
20;1.332;
30;1.995;
40;2.655;
50;3.313;
60;3.967;
70;4.618;
80;5.263;
90;5.899;
100;6.520;
110;7.121;
120;7.690;
130;8.211;
140;8.663;
150;9.011;
