Travel;Chain_Growth;
0;0.000;
10;1.720;
20;3.442;
30;5.168;
40;6.899;
50;8.634;
60;10.374;
70;12.117;
80;13.863;
90;15.608;
100;17.348;
110;19.076;
120;20.782;
130;22.450;
140;24.058;
150;25.571;
