Travel;Anti-rise;
0;0.786;
10;0.800;
20;0.811;
30;0.821;
40;0.830;
50;0.838;
60;0.846;
70;0.854;
80;0.862;
90;0.870;
100;0.878;
110;0.886;
120;0.894;
130;0.902;
140;0.911;
150;0.919;
