Travel;Anti-squat;
0;1.564;
10;1.572;
20;1.581;
30;1.591;
40;1.601;
50;1.610;
60;1.617;
70;1.620;
80;1.617;
90;1.603;
100;1.574;
110;1.522;
120;1.435;
130;1.296;
140;1.082;
150;0.759;
