Travel;Shock_Compression;Gradient;
0;0.000;0.318;
10;3.250;0.331;
20;6.624;0.344;
30;10.119;0.355;
40;13.729;0.367;
50;17.450;0.378;
60;21.279;0.388;
70;25.210;0.398;
80;29.241;0.408;
90;33.368;0.417;
100;37.588;0.427;
110;41.899;0.436;
120;46.299;0.445;
130;50.790;0.454;
140;55.377;0.464;
150;60.066;0.474;
