Travel;Pedal-kickback;
0;0.000;
10;2.502;
20;4.947;
30;7.340;
40;9.679;
50;11.967;
60;14.204;
70;16.389;
80;18.520;
90;20.596;
100;22.610;
110;24.555;
120;26.420;
130;28.186;
140;29.829;
150;31.312;
