Travel;Anti-squat;
0;1.159;
10;1.144;
20;1.130;
30;1.116;
40;1.102;
50;1.088;
60;1.073;
70;1.058;
80;1.041;
90;1.021;
100;0.998;
110;0.970;
120;0.933;
130;0.885;
140;0.820;
150;0.730;
