Travel;Axle_Path_radius;
0;746.301;
10;708.915;
20;677.847;
30;651.157;
40;627.632;
50;606.471;
60;587.121;
70;569.184;
80;552.362;
90;536.421;
100;521.160;
110;506.393;
120;491.924;
130;477.514;
140;462.843;
150;447.449;
