Travel;Frequency;
0;1.540;
10;1.602;
20;1.661;
30;1.718;
40;1.773;
50;1.825;
60;1.876;
70;1.925;
80;1.972;
90;2.018;
100;2.062;
110;2.106;
120;2.149;
130;2.194;
140;2.242;
150;2.294;
