Travel;Axlepath_X;
0;0.000;
10;-0.920;
20;-1.621;
30;-2.104;
40;-2.370;
50;-2.421;
60;-2.256;
70;-1.874;
80;-1.274;
90;-0.451;
100;0.600;
110;1.888;
120;3.427;
130;5.236;
140;7.343;
150;9.789;
