Travel;Axle_Path_steepness;
0;95.952;
10;94.694;
20;93.446;
30;92.206;
40;90.970;
50;89.735;
60;88.498;
70;87.255;
80;85.998;
90;84.719;
100;83.405;
110;82.039;
120;80.594;
130;79.034;
140;77.310;
150;75.355;
