Travel;Anti-squat;
0;1.727;
10;1.608;
20;1.499;
30;1.401;
40;1.314;
50;1.239;
60;1.176;
70;1.125;
80;1.086;
90;1.059;
100;1.042;
110;1.036;
120;1.038;
130;1.047;
140;1.062;
150;1.078;
160;1.094;
170;1.107;
180;1.112;
190;1.106;
200;1.082;
