Travel;Pedal-kickback;
0;0.000;
10;1.783;
20;3.471;
30;5.073;
40;6.596;
50;8.046;
60;9.431;
70;10.757;
80;12.030;
90;13.258;
100;14.444;
110;15.594;
120;16.713;
130;17.803;
140;18.868;
150;19.909;
160;20.926;
170;21.918;
180;22.884;
190;23.821;
200;24.722;
