Travel;Leverage_Ratio;
0;3.442;
10;3.319;
20;3.207;
30;3.104;
40;3.010;
50;2.924;
60;2.845;
70;2.774;
80;2.709;
90;2.650;
100;2.597;
110;2.549;
120;2.507;
130;2.470;
140;2.438;
150;2.411;
160;2.389;
170;2.373;
180;2.362;
190;2.357;
200;2.360;
