Travel;Shock_Compression;Gradient;
0;0.000;0.291;
10;2.959;0.301;
20;6.025;0.312;
30;9.196;0.322;
40;12.468;0.332;
50;15.839;0.342;
60;19.307;0.351;
70;22.867;0.361;
80;26.516;0.369;
90;30.249;0.377;
100;34.062;0.385;
110;37.949;0.392;
120;41.905;0.399;
130;45.924;0.405;
140;50.000;0.410;
150;54.125;0.415;
160;58.292;0.419;
170;62.493;0.421;
180;66.718;0.423;
190;70.957;0.424;
200;75.199;0.424;
