Travel;Anti-rise;
0;0.882;
10;0.862;
20;0.843;
30;0.826;
40;0.812;
50;0.799;
60;0.788;
70;0.779;
80;0.772;
90;0.767;
100;0.763;
110;0.761;
120;0.760;
130;0.760;
140;0.762;
150;0.764;
160;0.767;
170;0.771;
180;0.775;
190;0.780;
200;0.784;
