Travel;Axlepath_X;
0;0.000;
10;-1.265;
20;-2.246;
30;-2.950;
40;-3.386;
50;-3.560;
60;-3.480;
70;-3.153;
80;-2.583;
90;-1.776;
100;-0.737;
110;0.531;
120;2.025;
130;3.743;
140;5.686;
150;7.852;
160;10.246;
170;12.870;
180;15.731;
190;18.835;
200;22.194;
