Travel;Anti-squat;
0;1.393;
10;1.334;
20;1.280;
30;1.229;
40;1.183;
50;1.141;
60;1.104;
70;1.071;
80;1.042;
90;1.017;
100;0.995;
110;0.977;
120;0.962;
130;0.949;
140;0.938;
150;0.927;
160;0.915;
170;0.902;
180;0.886;
190;0.865;
200;0.838;
