Travel;Frequency;
0;1.443;
10;1.497;
20;1.549;
30;1.600;
40;1.650;
50;1.699;
60;1.746;
70;1.791;
80;1.834;
90;1.875;
100;1.913;
110;1.948;
120;1.981;
130;2.011;
140;2.038;
150;2.060;
160;2.079;
170;2.094;
180;2.103;
190;2.108;
200;2.105;
