Travel;Chain_Growth;
0;0.000;
10;1.834;
20;3.613;
30;5.345;
40;7.037;
50;8.694;
60;10.326;
70;11.937;
80;13.535;
90;15.125;
100;16.714;
110;18.306;
120;19.907;
130;21.519;
140;23.145;
150;24.788;
160;26.449;
170;28.128;
180;29.823;
190;31.531;
200;33.250;
