Travel;Chain_Growth;
0;0.000;
10;1.845;
20;3.635;
30;5.377;
40;7.078;
50;8.746;
60;10.386;
70;12.007;
80;13.614;
90;15.213;
100;16.811;
110;18.412;
120;20.021;
130;21.642;
140;23.277;
150;24.929;
160;26.599;
170;28.287;
180;29.991;
190;31.708;
200;33.435;
