Travel;Axle_Path_steepness;
0;98.112;
10;96.480;
20;94.886;
30;93.331;
40;91.815;
50;90.337;
60;88.897;
70;87.494;
80;86.125;
90;84.789;
100;83.481;
110;82.199;
120;80.937;
130;79.691;
140;78.454;
150;77.220;
160;75.982;
170;74.733;
180;73.464;
190;72.166;
200;70.829;
