Travel;Axle_Path_radius;
0;646.402;
10;638.232;
20;629.378;
30;619.925;
40;609.962;
50;599.577;
60;588.858;
70;577.894;
80;566.766;
90;555.553;
100;544.329;
110;533.157;
120;522.095;
130;511.189;
140;500.477;
150;489.984;
160;479.727;
170;469.711;
180;459.929;
190;450.366;
200;440.993;
