Travel;Pedal-kickback;
0;0.000;
10;0.685;
20;1.316;
30;1.898;
40;2.436;
50;2.937;
60;3.404;
70;3.845;
80;4.264;
90;4.665;
100;5.055;
110;5.435;
120;5.811;
130;6.185;
140;6.559;
150;6.934;
160;7.311;
170;7.689;
180;8.066;
190;8.439;
200;8.803;
