Travel;Anti-rise;
0;1.492;
10;1.471;
20;1.449;
30;1.429;
40;1.408;
50;1.388;
60;1.368;
70;1.348;
80;1.328;
90;1.308;
100;1.289;
110;1.269;
120;1.250;
130;1.230;
140;1.210;
145;1.200;
