Travel;Axlepath_X;
0;0.000;
10;-2.970;
20;-5.687;
30;-8.156;
40;-10.381;
50;-12.366;
60;-14.114;
70;-15.628;
80;-16.911;
90;-17.964;
100;-18.789;
110;-19.388;
120;-19.761;
130;-19.908;
140;-19.831;
145;-19.708;
