Travel;Chain_Growth;
0;0.000;
10;-0.523;
20;-1.017;
30;-1.484;
40;-1.923;
50;-2.337;
60;-2.726;
70;-3.091;
80;-3.434;
90;-3.754;
100;-4.054;
110;-4.334;
120;-4.594;
130;-4.835;
140;-5.059;
145;-5.164;
