Travel;Axle_Path_radius;
0;444.599;
10;444.599;
20;444.599;
30;444.599;
40;444.599;
50;444.599;
60;444.599;
70;444.599;
80;444.599;
90;444.599;
100;444.599;
110;444.599;
120;444.599;
130;444.599;
140;444.599;
145;444.599;
