Travel;Leverage_Ratio;
0;2.920;
10;2.865;
20;2.830;
30;2.804;
40;2.780;
50;2.755;
60;2.728;
70;2.697;
80;2.661;
90;2.620;
100;2.571;
110;2.514;
120;2.446;
130;2.364;
140;2.259;
144;2.209;
