Travel;Shock_Compression;Gradient;
0;0.000;0.342;
10;3.460;0.349;
20;6.972;0.353;
30;10.523;0.357;
40;14.105;0.360;
50;17.718;0.363;
60;21.365;0.367;
70;25.051;0.371;
80;28.783;0.376;
90;32.570;0.382;
100;36.422;0.389;
110;40.354;0.398;
120;44.385;0.409;
130;48.541;0.423;
140;52.864;0.443;
145;55.109;0.455;
