Travel;Frequency;
0;1.701;
10;1.734;
20;1.755;
30;1.772;
40;1.787;
50;1.803;
60;1.821;
70;1.842;
80;1.867;
90;1.896;
100;1.932;
110;1.976;
120;2.031;
130;2.102;
140;2.199;
145;2.263;
