Travel;Anti-squat;
0;1.387;
10;1.371;
20;1.356;
30;1.342;
40;1.327;
50;1.312;
60;1.297;
70;1.283;
80;1.268;
90;1.253;
100;1.238;
110;1.222;
120;1.207;
130;1.191;
140;1.175;
145;1.167;
