Travel;Anti-squat;
0;0.952;
10;0.964;
20;0.975;
30;0.985;
40;0.994;
50;1.002;
60;1.009;
70;1.015;
80;1.020;
90;1.025;
100;1.028;
110;1.031;
120;1.032;
130;1.032;
140;1.032;
145;1.031;
