Travel;Pedal-kickback;
0;0.000;
10;-0.533;
20;-1.055;
30;-1.567;
40;-2.072;
50;-2.568;
60;-3.058;
70;-3.542;
80;-4.021;
90;-4.496;
100;-4.967;
110;-5.435;
120;-5.902;
130;-6.367;
140;-6.831;
145;-7.063;
