Travel;Leverage_Ratio;
0;2.799;
10;2.700;
20;2.621;
30;2.558;
40;2.503;
50;2.454;
60;2.409;
70;2.363;
80;2.316;
90;2.265;
100;2.207;
110;2.139;
120;2.055;
130;1.945;
