Travel;Axlepath_X;
0;0.000;
10;-3.526;
20;-6.799;
30;-9.823;
40;-12.604;
50;-15.147;
60;-17.455;
70;-19.532;
80;-21.381;
90;-23.006;
100;-24.407;
110;-25.588;
120;-26.550;
130;-27.294;
