Travel;Chain_Growth;
0;0.000;
10;-0.029;
20;-0.058;
30;-0.088;
40;-0.119;
50;-0.152;
60;-0.186;
70;-0.222;
80;-0.260;
90;-0.301;
100;-0.344;
110;-0.391;
120;-0.441;
130;-0.494;
