Travel;Anti-squat;
0;1.146;
10;1.116;
20;1.085;
30;1.054;
40;1.023;
50;0.991;
60;0.959;
70;0.927;
80;0.894;
90;0.860;
100;0.825;
110;0.790;
120;0.754;
130;0.717;
