Travel;Anti-rise;
0;1.352;
10;1.332;
20;1.313;
30;1.294;
40;1.276;
50;1.258;
60;1.240;
70;1.223;
80;1.205;
90;1.188;
100;1.171;
110;1.154;
120;1.137;
130;1.120;
