Travel;Pedal-kickback;
0;0.000;
10;-0.135;
20;-0.282;
30;-0.441;
40;-0.613;
50;-0.798;
60;-0.995;
70;-1.206;
80;-1.430;
90;-1.667;
100;-1.918;
110;-2.183;
120;-2.462;
130;-2.755;
