Travel;Pedal-kickback;
0;0.000;
10;2.232;
20;4.389;
30;6.474;
40;8.487;
50;10.432;
60;12.308;
70;14.119;
80;15.865;
90;17.547;
100;19.167;
110;20.725;
120;22.222;
130;23.659;
