Travel;Anti-squat;
0;1.312;
10;1.290;
20;1.268;
30;1.247;
40;1.226;
50;1.206;
60;1.185;
70;1.165;
80;1.144;
90;1.124;
100;1.103;
110;1.083;
120;1.062;
130;1.041;
