Travel;Axle_Path_steepness;
0;110.143;
10;108.834;
20;107.536;
30;106.247;
40;104.967;
50;103.693;
60;102.427;
70;101.167;
80;99.913;
90;98.663;
100;97.417;
110;96.175;
120;94.936;
130;93.699;
