Travel;Frequency;
0;2.535;
10;2.190;
20;1.966;
30;1.829;
40;1.752;
50;1.722;
60;1.731;
70;1.774;
80;1.851;
90;1.964;
100;2.122;
110;2.339;
120;2.643;
130;3.087;
