Travel;Shock_Compression;Gradient;
0;0.000;0.357;
10;3.640;0.370;
20;7.401;0.381;
30;11.264;0.391;
40;15.217;0.399;
50;19.252;0.407;
60;23.365;0.415;
70;27.557;0.423;
80;31.831;0.432;
90;36.196;0.442;
100;40.667;0.453;
110;45.267;0.467;
120;50.032;0.487;
130;55.026;0.514;
