Travel;Axlepath_X;
0;0.000;
10;-1.597;
20;-2.972;
30;-4.126;
40;-5.062;
50;-5.780;
60;-6.282;
70;-6.568;
80;-6.639;
90;-6.495;
100;-6.135;
110;-5.560;
120;-4.767;
130;-3.757;
140;-2.528;
150;-1.077;
160;0.596;
170;2.495;
180;4.623;
190;6.982;
200;9.576;
210;12.410;
220;15.488;
