Travel;Pedal-kickback;
0;0.000;
10;0.628;
20;1.248;
30;1.861;
40;2.465;
50;3.061;
60;3.648;
70;4.225;
80;4.793;
90;5.351;
100;5.898;
110;6.435;
120;6.959;
130;7.472;
140;7.973;
150;8.461;
160;8.936;
170;9.397;
180;9.843;
190;10.275;
200;10.691;
210;11.091;
220;11.475;
