Travel;Shock_Compression;Gradient;
0;0.000;0.246;
10;2.498;0.253;
20;5.068;0.260;
30;7.708;0.268;
40;10.418;0.274;
50;13.197;0.281;
60;16.045;0.288;
70;18.961;0.295;
80;21.945;0.302;
90;24.996;0.308;
100;28.113;0.315;
110;31.297;0.322;
120;34.546;0.328;
130;37.859;0.335;
140;41.236;0.341;
150;44.676;0.347;
160;48.177;0.353;
170;51.736;0.359;
180;55.353;0.364;
190;59.024;0.370;
200;62.746;0.375;
210;66.514;0.379;
220;70.325;0.383;
