Travel;Chain_Growth;
0;0.000;
10;1.824;
20;3.644;
30;5.462;
40;7.276;
50;9.086;
60;10.893;
70;12.697;
80;14.498;
90;16.295;
100;18.089;
110;19.881;
120;21.669;
130;23.453;
140;25.235;
150;27.014;
160;28.791;
170;30.564;
180;32.335;
190;34.103;
200;35.868;
210;37.632;
220;39.392;
