Travel;Anti-rise;
0;0.840;
10;0.832;
20;0.823;
30;0.814;
40;0.804;
50;0.794;
60;0.784;
70;0.773;
80;0.763;
90;0.752;
100;0.741;
110;0.730;
120;0.720;
130;0.709;
140;0.698;
150;0.687;
160;0.676;
170;0.666;
180;0.655;
190;0.645;
200;0.635;
210;0.624;
220;0.615;
