Travel;Anti-squat;
0;1.417;
10;1.404;
20;1.390;
30;1.375;
40;1.360;
50;1.345;
60;1.328;
70;1.312;
80;1.294;
90;1.275;
100;1.256;
110;1.236;
120;1.215;
130;1.193;
140;1.170;
150;1.146;
160;1.120;
170;1.094;
180;1.066;
190;1.036;
200;1.005;
210;0.972;
220;0.937;
