Travel;Anti-squat;
0;1.659;
10;1.660;
20;1.660;
30;1.658;
40;1.654;
50;1.650;
60;1.643;
70;1.635;
80;1.625;
90;1.614;
100;1.601;
110;1.586;
120;1.569;
130;1.550;
140;1.529;
150;1.506;
160;1.481;
170;1.453;
180;1.422;
190;1.388;
200;1.352;
210;1.312;
220;1.269;
