Travel;Chain_Growth;
0;0.000;
10;1.834;
20;3.665;
30;5.492;
40;7.316;
50;9.137;
60;10.954;
70;12.768;
80;14.578;
90;16.385;
100;18.189;
110;19.989;
120;21.787;
130;23.581;
140;25.372;
150;27.160;
160;28.945;
170;30.728;
180;32.507;
190;34.284;
200;36.058;
210;37.830;
220;39.599;
