Travel;Leverage_Ratio;
0;4.061;
10;3.946;
20;3.839;
30;3.738;
40;3.643;
50;3.554;
60;3.470;
70;3.390;
80;3.314;
90;3.242;
100;3.174;
110;3.109;
120;3.047;
130;2.989;
140;2.934;
150;2.881;
160;2.833;
170;2.787;
180;2.744;
190;2.705;
200;2.670;
210;2.638;
220;2.611;
