Travel;Frequency;
0;1.172;
10;1.206;
20;1.240;
30;1.273;
40;1.307;
50;1.339;
60;1.372;
70;1.404;
80;1.436;
90;1.468;
100;1.500;
110;1.531;
120;1.562;
130;1.593;
140;1.623;
150;1.652;
160;1.680;
170;1.708;
180;1.735;
190;1.760;
200;1.783;
210;1.804;
220;1.823;
