Travel;Pedal-kickback;
0;0.000;
10;1.358;
20;2.686;
30;3.986;
40;5.257;
50;6.498;
60;7.711;
70;8.895;
80;10.050;
90;11.176;
100;12.273;
110;13.340;
120;14.378;
130;15.386;
140;16.364;
150;17.311;
160;18.228;
170;19.114;
180;19.968;
190;20.789;
200;21.578;
210;22.334;
220;23.056;
