Travel;Anti-rise;
0;0.821;
10;0.804;
20;0.788;
30;0.772;
40;0.755;
50;0.739;
60;0.722;
70;0.705;
80;0.688;
90;0.671;
100;0.654;
110;0.636;
120;0.619;
130;0.601;
140;0.582;
150;0.564;
160;0.545;
170;0.525;
180;0.506;
