Travel;Shock_Compression;Gradient;
0;0.000;0.315;
10;3.170;0.319;
20;6.388;0.324;
30;9.656;0.329;
40;12.973;0.334;
50;16.340;0.339;
60;19.757;0.344;
70;23.225;0.349;
80;26.744;0.355;
90;30.317;0.360;
100;33.942;0.365;
110;37.621;0.371;
120;41.355;0.376;
130;45.144;0.382;
140;48.990;0.387;
150;52.894;0.393;
160;56.857;0.399;
170;60.880;0.405;
180;64.964;0.412;
