Travel;Chain_Growth;
0;0.000;
10;1.681;
20;3.392;
30;5.133;
40;6.903;
50;8.701;
60;10.527;
70;12.380;
80;14.260;
90;16.166;
100;18.098;
110;20.055;
120;22.037;
130;24.044;
140;26.075;
150;28.130;
160;30.209;
170;32.311;
180;34.436;
