Travel;Chain_Growth;
0;0.000;
10;1.678;
20;3.386;
30;5.124;
40;6.890;
50;8.685;
60;10.508;
70;12.358;
80;14.235;
90;16.137;
100;18.066;
110;20.020;
120;21.999;
130;24.002;
140;26.030;
150;28.082;
160;30.157;
170;32.256;
180;34.378;
