Travel;Frequency;
0;2.243;
10;1.964;
20;1.771;
30;1.645;
40;1.565;
50;1.520;
60;1.503;
70;1.508;
80;1.534;
90;1.578;
100;1.642;
110;1.725;
120;1.829;
130;1.958;
140;2.116;
150;2.309;
160;2.549;
170;2.850;
180;3.231;
