Travel;Pedal-kickback;
0;0.000;
10;0.625;
20;1.274;
30;1.944;
40;2.636;
50;3.349;
60;4.082;
70;4.833;
80;5.603;
90;6.390;
100;7.194;
110;8.014;
120;8.849;
130;9.698;
140;10.562;
150;11.438;
160;12.328;
170;13.228;
180;14.140;
