Travel;Pedal-kickback;
0;0.000;
10;2.604;
20;5.178;
30;7.722;
40;10.237;
50;12.723;
60;15.179;
70;17.605;
80;20.002;
90;22.368;
100;24.705;
110;27.011;
120;29.287;
130;31.531;
140;33.745;
150;35.927;
160;38.077;
170;40.195;
180;42.280;
