Travel;Anti-squat;
0;1.162;
10;1.161;
20;1.160;
30;1.159;
40;1.158;
50;1.156;
60;1.154;
70;1.152;
80;1.149;
90;1.147;
100;1.144;
110;1.140;
120;1.136;
130;1.132;
140;1.127;
150;1.122;
160;1.116;
170;1.110;
180;1.103;
